Feature,MeanSHAP
10.75_1022.91,0.0016726318221784735
11.60_1002.94,-0.0016722097617838376
TG 60:8|TG 20:0_18:2_22:6,-0.001670745602871477
11.24_960.90,-0.0016697620273533485
10.48_133.10,0.001666154627687804
9.97_889.73,-0.001665941678805215
Betaine aldehyde,0.0016628611901332835
10.37_1353.22,0.0016608004768781503
9.64_908.77,-0.0016601907113087645
10.35_645.56,-0.0016598145856657164
11.00_940.83,-0.0016585231042988238
10.48_680.63,-0.001656064434587325
6.15_776.56,-0.0016553005181165128
N-Methylisoleucine,-0.0016546660615909686
10.34_956.86,0.0016499882981821897
0.38_259.10,-0.0016437460963964069
9.18_914.67,-0.001641239219509933
6.328_209.0663,0.0016403302022327836
5.16_629.55,0.0016400543613636898
5.56_770.61,-0.0016397464916251688
8.022_288.0762,-0.0016360191187385362
9.43_952.74,-0.0016357016978036083
7.66_644.60,0.001633063279029279
10.02_841.67,-0.001630863228929848
2.02_399.28,-0.0016261601700809473
9.07_985.73,0.0016240385331592973
10.937_165.1313,-0.0016238552619394586
11.60_1016.96,-0.0016236259566404217
11.00_1004.86,-0.0016226058814112637
10.01_979.77,-0.0016225302604065627
10.42_189.16,0.0016211763449003954
9.31_963.68,0.0016190781770414945
10.87_304.16,0.00161711638233331
9.55_887.71,0.001613942706438864
10.20_966.85,-0.0016103996376139182
TG 56:5|TG 20:1_18:2_18:2,-0.0016093487727835297
10.05_933.86,0.0016015998388269417
9.15_997.72,0.0016010599145823397
1.62_337.22,-0.0015993918316891283
9.57_840.66,-0.0015991314011694535
10.78_700.61,-0.0015928952709053687
0.34_221.07,-0.0015923958046328984
6.286_417.1197,-0.0015906030494786802
10.63_952.83,0.0015892458235746397
10.42_369.35,0.0015869809293390406
PC O-40:7,-0.0015861524893149971
9.63_920.77,0.0015842492338807286
DG 38:5,0.0015824289046220033
10.01_917.70,0.0015817417040481774
6.70_780.59,0.0015814024493856452
5.59_821.57,-0.0015764389680680826
5.51_799.60,-0.0015669253882749418
10.69_1010.91,-0.0015585314614098287
1.401_157.0861,-0.0015584543738860854
4.30_429.37,0.0015499200270234256
10.47_918.85,-0.0015451589815623347
11.60_928.78,-0.0015415969565064891
10.76_920.78,0.001541559348715134
Acetyl-threonine,-0.0015407278010543925
5.774_133.0496,0.0015401546963475124
1.64_132.87,-0.0015387134931400225
7.112_198.0742,0.0015380883439970014
2.16_1100.64,-0.0015373089872713524
11.35_369.35,-0.0015364806210194494
10.41_722.68,-0.0015356406301155485
1.15_258.28,-0.0015354761691318219
7.714_327.9696,0.0015320072900546888
9.67_1002.76,0.001531920360125851
5.75_952.63,-0.00152970797115528
0.75_547.02,0.0015274626494761131
9.63_911.71,-0.0015261779899469867
10.86_878.81,0.001524588746975639
9.905_62.2388,-0.0015236426956020536
10.21_965.84,0.0015217086741216956
9.90_861.76,0.001520574167298687
5.65_1259.84,-0.001515801154802496
6.61_744.63,-0.0015157675351511362
10.82_939.82,-0.0015141519405436643
3.48_571.43,-0.0015059597713951384
9.37_932.77,-0.0015055961135912674
1.144_239.1652,-0.0015035268541980099
4.90_755.54,-0.0015025124645911916
11.60_976.93,0.0015012597800186558
Abscisic acid,0.0014989763782002922
1981,-0.0014969999018249823
9.43_1014.85,-0.0014963744847761944
0.49_368.08,-0.001496154692013018
