Feature,MeanSHAP
10.45_904.83,-0.002300186650570635
10.25_1009.90,-0.002298003724757276
9.36_1003.85,0.0022849374291746124
8.94_1016.77,-0.0022787907606941094
5.24_818.57,-0.00226966085879794
1.13_379.25,0.0022589080118000445
1.87_559.47,0.0022567252872593524
9.42_945.77,-0.0022558782645868075
2.34_369.38,0.0022556361195015103
0.41_204.12,0.002251906532167825
6.88_816.65,-0.0022454364485313435
11.23_577.52,0.0022432822754976144
10.45_853.73,-0.0022396952938597693
11.24_946.88,0.0022375017458331663
11.06_960.90,-0.0022368126789059995
10.23_369.35,0.0022357699776947237
11.07_900.80,0.0022340923195393546
8.74_1011.68,0.0022312007436137513
1.15_258.28,-0.002224622521219075
4.42_808.58,-0.002217573205350854
9.94_367.34,0.0022171265238335714
7.254_96.9218,0.0022159904624169248
10.48_671.57,0.0022063501285796714
5.762_78.9176,0.0021965835477057404
10.86_918.85,-0.002191774947588285
9.41_889.67,0.0021906577166641585
9.65_1018.73,-0.0021697120035167757
9.01_914.67,0.0021669264832520404
9.57_840.66,0.002166446930091068
9.32_949.72,-0.002166250218682837
1.60_356.35,0.0021628785785058383
10.32_970.88,0.002161862880081408
10.51_924.80,-0.0021588434675234593
5.77_846.64,-0.0021581879450154147
9.79_923.78,-0.002154255279972064
8.73_895.74,0.0021460856652155925
10.58_666.62,-0.0021426744904851414
9.97_794.72,0.0021422001326859195
10.95_1013.93,-0.0021315768331070704
10.90_881.76,-0.0021273668848434137
10.67_904.83,0.002122851259720108
TG 60:13|TG 18:2_20:5_22:6,0.0021207333903046463
5.50_816.56,-0.002115946666355276
9.64_937.80,0.0021150362111689923
8.90_987.68,0.0021137617477573908
5.51_794.61,-0.002110460205254229
4.84_690.54,0.002099881056582165
4.65_889.53,0.002099834920935899
2.396_202.108,0.0020981410165950374
4.94_785.58,-0.0020981199830687443
10.20_978.85,0.002097372121269013
6.70_816.69,0.0020826534191178826
LPC 20:1/0:0,-0.0020805014934390997
(N-(-2-Acetamido))-2-aminoethanesulfonic acid,0.0020742268608525375
10.30_1000.83,-0.002070957751021448
10.39_891.74,0.002060535039786382
11.07_912.75,-0.0020588067985812053
10.09_949.80,-0.0020586888080217735
4.83_792.55,-0.0020553775889124177
5.38_742.54,-0.0020518239894497135
10.88_147.12,0.002041555912099486
0.52_359.00,-0.002036918886141859
9.77_937.80,-0.002018819475891397
7.03_827.70,-0.002016759174038181
6.18_170.83,0.0020136382423513116
Naringenin-4'-O-.beta.-D-glucuronide,0.0020132223478222812
5.26_817.58,-0.0020082076343221063
9.35_939.68,-0.002004793340932704
glycerol-3-galactoside,-0.0019996770786177747
10.89_1020.95,0.001998937265507566
7.66_644.60,0.0019926418620128624
4.83_805.62,-0.0019905813945338114
5.54_756.55,0.001986816433999753
9.43_1015.85,0.001983780476883517
5.77_675.52,0.0019791784596610708
5.10_1590.14,0.001979165869215104
5.83_856.65,0.0019753503704546416
9.12_1026.85,0.0019745369179890128
2.36_145.10,-0.001971924243157241
2.698_158.1175,0.0019703716032556324
0.38_190.97,-0.0019678148942898054
10.35_930.76,0.0019662365876756305
4.46_826.54,0.001943819012874801
391329,0.0019414558288483137
0.911_218.9967,-0.0019372150801663423
5.58_809.65,-0.0019302740379638736
9.71_818.72,-0.0019293630100891926
N-Acetylglycine,0.0019291143414426955
